year,value
1961,3.0695314
1962,3.1186557
1963,3.2141314
1964,3.3146336
1965,3.3914342
1966,3.4836996
1967,3.5230074
1968,3.640141
1969,3.8024604
1970,4.031703
1971,4.1126857
1972,4.220955
1973,4.3584433
1974,4.2591424
1975,4.1909056
1976,4.343238
1977,4.3889575
1978,4.447253
1979,4.493893
1980,4.388215
1981,4.207223
1982,4.09821
1983,4.05094
1984,4.1175523
1985,4.18071
1986,4.1670904
1987,4.2201886
1988,4.3075852
1989,4.2901363
1990,4.280799
1991,4.2996206
1992,4.110925
1993,4.0902147
1994,4.0576935
1995,4.084593
1996,4.14743
1997,4.114562
1998,4.044095
1999,4.076034
2000,4.1395416
2001,4.119578
2002,4.1633935
2003,4.324685
2004,4.4221425
2005,4.5156765
2006,4.606415
2007,4.684364
2008,4.7104716
2009,4.5756207
2010,4.7761583
2011,4.8757815
2012,4.887985
2013,4.8712153
2014,4.8477273
2015,4.7880025
2016,4.7280645
2017,4.749682
2018,4.792753
2019,4.7756333
2020,4.4974236
2021,4.693699
